date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:13:41	390347/390347	---M--	200	added ('OK')	image/png	etag:%229e8cd5404494926a32e9c1bfe123d338-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-front%20(1).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-front%20(1).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:42	122346/122346	---M--	200	added ('OK')	image/png	etag:%2208ba92a0e5299fff3eaf860e314dd80e-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-wp-front%20(1).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-wp-front%20(1).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:42	1667825/1667825	---M--	200	added ('OK')	image/png	etag:%221d90d1f33a528eb587305c270759ed12-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev%20(1).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev%20(1).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:43	330966/330966	---M--	200	added ('OK')	image/png	etag:%222cc93dded8cd99b387b5d30dd0cf7132-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-wp%20(1).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-wp%20(1).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:44	412582/412582	---M--	200	added ('OK')	image/png	etag:%22feefd894c66d2a2d74cff7cdb7b810a0-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-front%20(3).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev-front%20(3).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:45	1653364/1653364	---M--	200	added ('OK')	image/png	etag:%2221341849ac2abd331abb4c4de8c5ec20-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev%20(3).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/webdev%20(3).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:45	67064/67064	---M--	200	added ('OK')	image/jpeg	etag:%22eada19cb268a12a2474eea17045778eb-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-1.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-1.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:46	73871/73871	---M--	200	added ('OK')	image/jpeg	etag:%22b332e1646bb9b5f516baad506b60bf0c-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-2.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-2.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:46	42308/42308	---M--	200	added ('OK')	image/jpeg	etag:%22017994ca622b608faf5ef1cab57275a0-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-3.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/app-3.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio)
03:13:47	49063/49063	---M--	200	added ('OK')	image/jpeg	etag:%22beb0d98e1c394fa75a57f9a62e23363c-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/contact-header.jpeg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/contact-header.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/contact)
03:13:47	58/58	---M--	400	error ('Bad%20Request')	text/plain	etag:W/%223a-taO9i3TG0dz45Oeau8VRWJD4Xi8%22	https://cdn.jsdelivr.net/robots.txt		(from https://cdn.jsdelivr.net/npm/bootstrap-icons/font/bootstrap-icons.css)
03:13:48	25149/25149	---M--	200	added ('OK')	image/jpeg	etag:%22951fa6d735152bc6ec6bea5105002b77-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(1).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(1).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:49	90707/90707	---M--	200	added ('OK')	image/png	etag:%22f59f68e99787eda8a9ae4438aee01803-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(8).png	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(8).png	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:50	25436/25436	---M--	200	added ('OK')	image/jpeg	etag:%22cc041c256455544febbb1bcfaad9befa-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(2).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(2).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:51	13338/13338	---M--	200	added ('OK')	image/jpeg	etag:%22c5f8b450d637f66f5f2052ad566ea8d4-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(3).jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(3).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:52	17301/17301	---M--	200	added ('OK')	image/jpeg	etag:%223c6c49a242e2f89e05fd6887f62d5cc6-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(6).jpeg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/logo%20(6).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:53	25514/25514	---M--	200	added ('OK')	image/jpeg	etag:%22c02fa6660b306e4b1385d0179efcf8c5-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-1.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-1.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:54	52305/52305	---M--	200	added ('OK')	image/jpeg	etag:%226753fbc09ed95e4fab671c128c161bee-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-2.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-2.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:54	77892/77892	---M--	200	added ('OK')	image/jpeg	etag:%223e0743681d2d92aa665ae9f688c8d575-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-3.jpg	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/brand%20identidy%20-3.jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
03:13:55	137496/137496	---M--	200	added ('OK')	image/jpeg	etag:%224f134a5c5dfce3fe67550dbd5aa1c096-ssl%22	https://afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20package(1).jfif	C:/My%20Web%20Sites/Portfolio/afsahfarooqui-portfoliowebsite.netlify.app/assets/portfolio/graphic%20package(1).jpg	(from https://afsahfarooqui-portfoliowebsite.netlify.app/portfolio-graphic)
